rank	title	year	grades	director
1	肖申克的救赎	1994	9.7	弗兰克·德拉邦特
2	霸王别姬	1993	9.6	陈凯歌
3	阿甘正传	1994	9.5	罗伯特·泽米吉斯
4	这个杀手不太冷	1994	9.4	吕克·贝松
5	美丽人生	1997	9.5	罗伯托·贝尼尼
6	泰坦尼克号	1997	9.4	詹姆斯·卡梅隆
7	千与千寻	2001	9.3	宫崎骏
8	辛德勒的名单	1993	9.5	史蒂文·斯皮尔伯格
9	盗梦空间	2010	9.3	克里斯托弗·诺兰
10	忠犬八公的故事	2009	9.3	莱塞·霍尔斯道姆
11	海上钢琴师	1998	9.3	朱塞佩·托纳多雷
12	机器人总动员	2008	9.3	安德鲁·斯坦顿
13	三傻大闹宝莱坞	2009	9.2	拉库马·希拉尼
14	楚门的世界	1998	9.3	彼得·威尔
15	放牛班的春天	2004	9.3	克里斯托夫·巴拉蒂
16	星际穿越	2014	9.3	克里斯托弗·诺兰
17	大话西游之大圣娶亲	1995	9.2	刘镇伟
18	熔炉	2011	9.3	黄东赫
19	龙猫	1988	9.2	宫崎骏
20	无间道	2002	9.2	刘伟强
21	教父	1972	9.3	弗朗西斯·福特·科波拉
22	疯狂动物城	2016	9.2	拜伦·霍华德
23	当幸福来敲门	2006	9.1	加布里尔·穆奇诺
24	怦然心动	2010	9	罗伯·莱纳
25	触不可及	2011	9.2	奥利维·那卡什
26	蝙蝠侠：黑暗骑士	2008	9.2	克里斯托弗·诺兰
27	活着	1994	9.2	张艺谋
28	控方证人	1957	9.6	比利·怀尔德
29	乱世佳人	1939	9.3	维克多·弗莱明
30	少年派的奇幻漂流	2012	9	李安
31	摔跤吧！爸爸	2016	9	涅提·蒂瓦里
32	指环王3：王者无敌	2003	9.2	彼得·杰克逊
33	飞屋环游记	2009	9	彼特·道格特
34	鬼子来了	2000	9.2	姜文
35	十二怒汉	1957	9.4	Sidney
36	天空之城	1986	9.1	宫崎骏
37	寻梦环游记	2017	9.1	李·昂克里奇
38	末代皇帝	1987	9.2	贝纳尔多·贝托鲁奇
39	天堂电影院	1988	9.2	朱塞佩·托纳多雷
40	大话西游之月光宝盒	1995	9	刘镇伟
41	哈尔的移动城堡	2004	9	宫崎骏
42	罗马假日	1953	9	威廉·惠勒
43	搏击俱乐部	1999	9	大卫·芬奇
44	闻香识女人	1992	9	马丁·布莱斯
45	素媛	2013	9.2	李濬益
46	辩护人	2013	9.2	杨宇硕
47	何以为家	2018	9.1	娜丁·拉巴基
48	窃听风暴	2006	9.1	娜丁·拉巴基
49	死亡诗社	1989	9.1	彼得·威尔
50	教父2	1974	9.2	弗朗西斯·福特·科波拉
51	两杆大烟枪	1998	9.1	Guy
52	指环王2：双塔奇兵	2002	9.1	彼得·杰克逊
53	飞越疯人院	1975	9.1	米洛斯·福尔曼
54	狮子王	1994	9	Roger
55	指环王1：魔戒再现	2001	9	彼得·杰克逊
56	V字仇杀队	2005	8.9	詹姆斯·麦克特格
57	美丽心灵	2001	9	朗·霍华德
58	饮食男女	1994	9.1	李安
59	大闹天宫	1961	9.3	万籁鸣
60	哈利·波特与魔法石	2001	8.9	Chris
61	钢琴家	2002	9.1	罗曼·波兰斯基
62	海豚湾	2009	9.3	路易·西霍尤斯
63	本杰明·巴顿奇事	2008	8.9	大卫·芬奇
64	黑客帝国	1999	9	安迪·沃卓斯基
65	情书	1995	8.9	岩井俊二
66	看不见的客人	2016	8.8	奥里奥尔·保罗
67	让子弹飞	2010	8.8	姜文
68	我不是药神	2018	9	文牧野
69	西西里的美丽传说	2000	8.9	朱塞佩·托纳多雷
70	猫鼠游戏	2002	8.9	史蒂文·斯皮尔伯格
71	小鞋子	1997	9.2	马基德·马基迪
72	拯救大兵瑞恩	1998	9	史蒂文·斯皮尔伯格
73	美国往事	1984	9.2	赛尔乔·莱翁内
74	音乐之声	1965	9	罗伯特·怀斯
75	致命魔术	2006	8.8	克里斯托弗·诺兰
76	七宗罪	1995	8.8	大卫·芬奇
77	低俗小说	1994	8.8	昆汀·塔伦蒂诺
78	穿条纹睡衣的男孩	2008	9.1	马克·赫尔曼
79	被嫌弃的松子的一生	2006	8.9	中岛哲也
80	沉默的羔羊	1991	8.8	乔纳森·戴米
81	蝴蝶效应	2004	8.8	埃里克·布雷斯
82	春光乍泄	1997	8.9	王家卫
83	心灵捕手	1997	8.9	格斯·范·桑特
84	禁闭岛	2010	8.8	Martin
85	勇敢的心	1995	8.9	梅尔·吉布森
86	布达佩斯大饭店	2014	8.8	韦斯·安德森
87	剪刀手爱德华	1990	8.7	蒂姆·波顿
88	天使爱美丽	2001	8.7	让-皮埃尔·热内
89	阿凡达	2009	8.7	詹姆斯·卡梅隆
90	摩登时代	1936	9.3	查理·卓别林
91	加勒比海盗	2003	8.7	戈尔·维宾斯基
92	致命ID	2003	8.8	James
93	幽灵公主	1997	8.9	宫崎骏
94	断背山	2005	8.8	李安
95	入殓师	2008	8.8	泷田洋二郎
96	喜剧之王	1999	8.7	周星驰
97	阳光灿烂的日子	1994	8.8	姜文
98	重庆森林	1994	8.7	王家卫
99	狩猎	2012	9.1	托马斯·温特伯格
100	第六感	1999	8.9	M·奈特·沙马兰
101	海蒂和爷爷	2015	9.2	阿兰·葛斯彭纳
102	杀人回忆	2003	8.8	奉俊昊
103	玛丽和马克思	2009	8.9	亚当·艾略特
104	小森林 夏秋篇	2014	9	森淳一
105	消失的爱人	2014	8.7	大卫·芬奇
106	请以你的名字呼唤我	2017	8.8	卢卡·瓜达尼诺
107	告白	2010	8.7	中岛哲也
108	一一	2000	9	杨德昌
109	大鱼	2003	8.8	蒂姆·波顿
110	爱在黎明破晓前	1995	8.8	理查德·林克莱特
111	红辣椒	2006	9	今敏
112	阳光姐妹淘	2011	8.8	姜炯哲
113	侧耳倾听	1995	8.9	近藤喜文
114	7号房的礼物	2013	8.8	李焕庆
115	射雕英雄传之东成西就	1993	8.7	刘镇伟
116	甜蜜蜜	1996	8.8	陈可辛
117	超脱	2011	8.9	托尼·凯耶
