,航空公司,航班号,机型,出发机场,到达机场,出发时间,到达时间,最低票价
0,成都航空,EU2235,空客320(中型),双流国际机场T2,白云国际机场T1,07:15,09:40,¥745
1,首都航空,JD5162,空客321(中型),双流国际机场T2,白云国际机场T1,20:55,23:30,¥822
2,中国国航,CA4305,空客321(中型),双流国际机场T2,白云国际机场T1,07:50,10:25,¥900
3,中国国航,CA4309,空客330(大型),双流国际机场T2,白云国际机场T1,19:00,21:40,¥900
4,祥鹏航空,8L7352,空客330(大型),双流国际机场T2,白云国际机场T1,18:45,21:10,¥920
5,海南航空,HU7352,空客330(大型),双流国际机场T2,白云国际机场T1,18:45,21:10,¥920
6,深圳航空,ZH9446,空客320(中型),双流国际机场T2,白云国际机场T1,08:15,10:55,¥1000
7,中国国航,CA4307,空客330(大型),双流国际机场T2,白云国际机场T1,09:15,11:45,¥1000
8,中国国航,CA4303,空客330(大型),双流国际机场T2,白云国际机场T1,17:00,19:45,¥1000
9,深圳航空,ZH9444,空客320(中型),双流国际机场T2,白云国际机场T1,17:10,19:50,¥1000
10,海南航空,HU7630,波音738(中型),双流国际机场T2,白云国际机场T1,20:25,22:55,¥1020
11,祥鹏航空,8L7630,波音738(中型),双流国际机场T2,白云国际机场T1,20:25,22:55,¥1020
12,昆明航空,KY9446,空客320(中型),双流国际机场T2,白云国际机场T1,08:15,10:55,¥1099
13,昆明航空,KY9444,空客320(中型),双流国际机场T2,白云国际机场T1,17:10,19:50,¥1099
14,东方航空,MU7807,波音737(中型),双流国际机场T2,白云国际机场T1,06:00,08:20,¥1100
15,四川航空,3U8731,空客320(中型),双流国际机场T1,白云国际机场T2,07:00,09:25,¥1100
16,东方航空,MU5321,空客330(大型),双流国际机场T2,白云国际机场T1,09:30,12:05,¥1100
17,南方航空,CZ3404,空客321(中型),双流国际机场T2,白云国际机场T2,10:40,13:00,¥1100
18,深圳航空,ZH9442,空客320(中型),双流国际机场T2,白云国际机场T1,10:50,13:20,¥1100
19,中国国航,CA4317,空客321(中型),双流国际机场T2,白云国际机场T1,12:00,14:40,¥1100
20,四川航空,3U8735,空客330(大型),双流国际机场T1,白云国际机场T2,13:25,15:55,¥1100
21,中国国航,CA4301,空客321(中型),双流国际机场T2,白云国际机场T1,13:50,16:30,¥1100
22,南方航空,CZ8648,空客319(中型),双流国际机场T2,白云国际机场T2,13:55,16:30,¥1100
23,中国国航,CA4333,空客321(中型),双流国际机场T2,白云国际机场T1,15:00,17:40,¥1100
24,南方航空,CZ3444,波音787(大型),双流国际机场T2,白云国际机场T2,16:00,18:35,¥1100
25,四川航空,3U8739,空客320(中型),双流国际机场T1,白云国际机场T2,19:00,21:20,¥1100
26,南方航空,CZ3484,空客320(中型),双流国际机场T2,白云国际机场T2,21:25,23:45,¥1100
27,南方航空,CZ3428,空客321(中型),双流国际机场T2,白云国际机场T2,22:30,01:00,¥1100
28,深圳航空,ZH3847,空客320(中型),双流国际机场T1,白云国际机场T2,07:00,09:25,¥1210
29,中国国航,CA3880,空客320(中型),双流国际机场T2,白云国际机场T1,08:15,10:55,¥1210
30,四川航空,3U4394,空客320(中型),双流国际机场T2,白云国际机场T1,08:15,10:55,¥1210
31,深圳航空,ZH3853,空客350(大型),双流国际机场T1,白云国际机场T2,10:25,13:05,¥1210
32,深圳航空,ZH3851,空客330(大型),双流国际机场T1,白云国际机场T2,13:25,15:55,¥1210
33,东方航空,MU4009,空客330(大型),双流国际机场T1,白云国际机场T2,13:25,15:55,¥1210
34,中国国航,CA3744,空客320(中型),双流国际机场T2,白云国际机场T1,17:10,19:50,¥1210
35,四川航空,3U4392,空客320(中型),双流国际机场T2,白云国际机场T1,17:10,19:50,¥1210
36,深圳航空,ZH3805,空客320(中型),双流国际机场T1,白云国际机场T2,19:00,21:20,¥1210
37,南方航空,CZ4981,空客320(中型),双流国际机场T1,白云国际机场T2,07:00,09:25,¥1230
38,南方航空,CZ4985,空客330(大型),双流国际机场T1,白云国际机场T2,13:25,15:55,¥1230
39,南方航空,CZ4913,空客320(中型),双流国际机场T1,白云国际机场T2,19:00,21:20,¥1230
40,昆明航空,KY9442,空客320(中型),双流国际机场T2,白云国际机场T1,10:50,13:20,¥1269
41,山东航空,SC9446,空客320(中型),双流国际机场T2,白云国际机场T1,08:15,10:55,¥1290
42,山东航空,SC9444,空客320(中型),双流国际机场T2,白云国际机场T1,17:10,19:50,¥1290
43,四川航空,3U4390,空客320(中型),双流国际机场T2,白云国际机场T1,10:50,13:20,¥1400
44,中国国航,CA3742,空客320(中型),双流国际机场T2,白云国际机场T1,10:50,13:20,¥1400
45,山东航空,SC9442,空客320(中型),双流国际机场T2,白云国际机场T1,10:50,13:20,¥1460
